"名称","種別","所在地","新指定年月日"
"上高津貝塚","史跡","茨城県土浦市",77/10/04
"平沢官衙遺跡","史跡","茨城県つくば市",80/12/04
"広畑貝塚","史跡","茨城県桜川村",82/02/27
"鹿島神宮境内附郡家跡","史跡","茨城県鹿嶋市",86/08/04
"小幡北山埴輪製作遺跡","史跡","茨城県茨城町",92/01/21
"真壁城跡","史跡","茨城県真壁町",94/10/28
"陸平貝塚","史跡","茨城県美浦村",98/09/11
"下野薬師寺跡","史跡","栃木県南河内町",21/03/03
"下野国分寺跡","史跡","栃木県国分寺町",21/03/03
"足利学校跡(聖廟および附属建物を含む)","史跡","栃木県足利市",21/03/03
"コウシンソウ自生地","特別天然記念物","栃木県足尾町",21/03/03
"小金井一里塚","史跡","栃木県国分寺町",22/03/08
"日光杉並木街道附並木寄進碑","特別史跡・特別天然記念物","栃木県日光市・今市市",22/03/08
"足利氏宅跡(鑁阿寺)","史跡","栃木県足利市",22/03/08
"湯沢噴泉塔","天然記念物","栃木県栗山村",22/03/08
"大谷磨崖仏","特別史跡","栃木県宇都宮市",26/02/24
"佐貫石仏","史跡","栃木県塩谷町",26/02/24
"琵琶塚古墳","史跡","栃木県小山市",26/02/24
"愛宕塚古墳","史跡","栃木県壬生町",26/02/24
"車塚古墳","史跡","栃木県壬生町",26/02/24
"牛塚古墳","史跡","栃木県壬生町",26/02/24
"壬生一里塚","史跡","栃木県壬生町",28/03/24
"華厳瀑および中宮祠湖(中禅寺湖)湖畔","名勝","栃木県日光市",31/03/30
"桜町陣屋跡","史跡","栃木県二宮町",32/03/25
"唐御所横穴","史跡","栃木県馬頭町",34/12/28
"金剛ザクラ","天然記念物","栃木県日光市",36/12/16
"逆スギ","天然記念物","栃木県塩原町",37/04/17
"名草の巨石群","天然記念物","栃木県足利市",39/09/07
"侍塚古墳","史跡","栃木県湯津上村",51/06/09
"茶臼山古墳","史跡","栃木県壬生町",58/06/28
"下野国分尼寺跡","史跡","栃木県国分寺町",65/04/09
"専修寺境内","史跡","栃木県二宮町",67/07/06
"吾妻古墳","史跡","栃木県栃木市・壬生町",70/07/22
"那須官衙遺跡","史跡","栃木県小川町",76/06/07
"飛山城跡","史跡","栃木県宇都宮市",77/03/08
"乙女不動原瓦窯跡","史跡","栃木県小山市",78/05/11
"摩利支天塚古墳","史跡","栃木県小山市",78/07/21
"駒形大塚古墳","史跡","栃木県小川町",79/03/13
"下野国庁跡","史跡","栃木県栃木市",82/10/12
"那須神田城跡","史跡","栃木県小川町",84/07/06
"根古谷台遺跡","史跡","栃木県宇都宮市",88/05/17
"小山氏城跡　　鷲城跡　 祇園城跡","史跡","栃木県小山市",91/03/12
"寺野東遺跡","史跡","栃木県小山市",95/11/08
"日光山内","史跡","栃木県日光市",98/05/14
"樺崎寺跡","史跡","栃木県足利市",01/01/29
"多胡碑","特別史跡","群馬県吉井町",21/03/03
"山上碑および古墳","特別史跡","群馬県高崎市",21/03/03
"金井沢碑","特別史跡","群馬県高崎市",21/03/03
"妙義山","名勝","群馬県妙義町・下仁田町・松井田町",23/03/07
"上野国分寺跡","史跡","群馬県群馬町・前橋市",26/10/20
"浅間山古墳","史跡","群馬県高崎市",27/04/08
"大鶴巻古墳","史跡","群馬県高崎市",27/04/08
"女体山古墳","史跡","群馬県太田市",27/04/08
"前二子古墳","史跡","群馬県前橋市",27/04/08
"中二子古墳","史跡","群馬県前橋市",27/04/08
"後二子古墳ならびに小古墳","史跡","群馬県前橋市",27/04/08
"二子山古墳","史跡","群馬県前橋市",27/04/08
"滝沢石器時代遺跡","史跡","群馬県赤城村",27/04/08
"二子山古墳","史跡","群馬県前橋市",27/06/14
"七輿山古墳","史跡","群馬県藤岡市",27/06/14
"山王塔跡","史跡","群馬県前橋市",28/02/07
"高山彦九郎宅跡附遺髪塚","史跡","群馬県太田市",31/11/16
"安中原市のスギ並木","天然記念物","群馬県安中市",33/04/13
"原町の大ケヤキ","天然記念物","群馬県吾妻町",33/04/13
"横室の大カヤ","天然記念物","群馬県富士見村",33/04/13
"榛名神社の矢立スギ","天然記念物","群馬県榛名町",33/04/13
"生品神社境内(新田義貞挙兵伝説地)","史跡","群馬県新田町",34/03/13
"金山城跡","史跡","群馬県太田市",34/12/28
"躑躅ヶ岡(ツツジ)","名勝","群馬県館林市",34/12/28
"川原湯岩脈(臥竜岩および昇竜岩)","天然記念物","群馬県長野原町",34/12/28
"吾妻峡","名勝","群馬県吾妻町・長野原町",35/12/24
"吹割渓ならびに吹割瀑","天然記念物・名勝","群馬県利根村",36/12/16
"三波川(サクラ)","名勝・天然記念物","群馬県鬼石町",37/04/17
"華蔵寺のキンモクセイ","天然記念物","群馬県伊勢崎市",37/06/15
"永明寺のキンモクセイ","天然記念物","群馬県邑楽町",37/06/15
"上野村亀甲石産地","天然記念物","群馬県上野村",38/08/08
"生犬穴","天然記念物","群馬県上野村",38/12/14
"岩神の飛石","天然記念物","群馬県前橋市",38/12/14
"浅間山熔岩樹型","特別天然記念物","群馬県嬬恋村",40/08/30
"武井廃寺塔跡","史跡","群馬県新里村",41/01/27
"天神山古墳","史跡","群馬県太田市",41/01/27
"宝塔山古墳","史跡","群馬県前橋市",44/11/13
"本郷埴輪窯跡","史跡","群馬県藤岡市",44/11/13
"水上石器時代住居跡","史跡","群馬県水上町",44/11/13
"観音塚古墳","史跡","群馬県高崎市",48/01/14
"譲原石器時代住居跡","史跡","群馬県鬼石町",48/12/18
"八幡山古墳","史跡","群馬県前橋市",49/07/13
"敷島のキンメイチク","天然記念物","群馬県赤城村",53/11/14
"薄根の大クワ","天然記念物","群馬県沼田市",56/05/15
"湯の丸レンゲツツジ群落","天然記念物","群馬県嬬恋村",56/05/15
"草津白根のアズマシャクナゲ及びハクサンシャクナゲ群落","天然記念物","群馬県草津町",61/07/06
"上野楢原のシオジ林","天然記念物","群馬県上野村",69/07/25
"観音山古墳","史跡","群馬県高崎市",73/04/14
"蛇穴山古墳","史跡","群馬県前橋市",74/12/23
"岩宿遺跡","史跡","群馬県笠懸町",79/08/17
"女堀","史跡","群馬県前橋市",83/10/27
"保渡田古墳群","史跡","群馬県群馬町",85/09/03
"箕輪城跡","史跡","群馬県箕郷町",87/12/17
"十三宝塚遺跡","史跡","群馬県境町",88/01/11
"日高遺跡","史跡","群馬県高崎市",89/11/09
"黒井峯遺跡","史跡","群馬県子持村",93/04/02
"白石稲荷山古墳","史跡","群馬県藤岡市",93/11/30
"中高瀬観音山遺跡","史跡","群馬県富岡市",97/03/17
"矢瀬遺跡","史跡","群馬県月夜野町",97/03/17
"茅野遺跡","史跡","群馬県榛東村",00/03/07
"楽山園","名勝","群馬県甘楽町",00/03/30
"新田荘遺跡","史跡","群馬県太田市・尾島町・新田町",00/11/01
"田島ヶ原サクラソウ自生地","特別天然記念物","埼玉県浦和市",20/07/17
"石戸蒲ザクラ","天然記念物","埼玉県北本市",22/10/12
"吉見百穴","史跡","埼玉県吉見町",23/03/07
"長瀞＊","名勝・天然記念物","埼玉県長瀞＊町・皆野町",24/12/09
"牛島のフジ","特別天然記念物","埼玉県春日部市",28/01/18
"南河原石塔婆","史跡","埼玉県南河原村",28/02/07
"野上下郷石塔婆","史跡","埼玉県長瀞＊町",28/02/07
"吉見百穴ヒカリゴケ発生地","天然記念物","埼玉県吉見町",28/11/30
"小見真観寺古墳","史跡","埼玉県行田市",31/03/30
"水殿瓦窯跡","史跡","埼玉県美里村",31/11/26
"鉢形城跡","史跡","埼玉県寄居町",32/04/19
"与野の大カヤ","天然記念物","埼玉県与野市",32/07/25
"埼玉古墳群","史跡","埼玉県行田市",38/08/08
"御岳の鏡岩","特別天然記念物","埼玉県神川町",40/08/30
"塙保己一旧宅","史跡","埼玉県児玉町",44/11/13
"武甲山石灰岩地特殊植物群落","天然記念物","埼玉県横瀬町",51/06/09
"高麗村石器時代住居跡","史跡","埼玉県日高市",51/12/26
"宮塚古墳","史跡","埼玉県熊谷市",56/05/15
"大谷瓦窯跡","史跡","埼玉県東松山市",58/10/08
"宝蔵寺沼ムジナモ自生地","天然記念物","埼玉県羽生市",66/05/04
"平林寺境内林","天然記念物","埼玉県新座市",68/05/28
"水子貝塚","史跡","埼玉県富士見市",69/09/09
"栃本関跡","史跡","埼玉県大滝村",70/11/12
"菅谷館跡","史跡","埼玉県嵐山町",73/05/26
"真福寺貝塚","史跡","埼玉県岩槻市",75/07/19
"見沼通船堀","史跡","埼玉県浦和市",82/07/03
"河越館跡","史跡","埼玉県川越市",84/12/06
"太東海浜植物群落","天然記念物","千葉県岬町",20/07/17
"成東・東金食虫植物群落","天然記念物","千葉県成東町・東金市",20/07/17
"鯛の浦タイ生息地","特別天然記念物","千葉県天津小湊町",22/03/08
"清澄の大スギ","天然記念物","千葉県天津小湊町",24/12/09
"府馬の大クス","天然記念物","千葉県山田町",26/10/20
"神崎の大クス","天然記念物","千葉県神崎町",26/10/20
"竹岡のヒカリモ発生地","天然記念物","千葉県富津市",28/11/30
"弁天山古墳","史跡","千葉県富津市",29/12/17
"上総国分寺跡","史跡","千葉県市原市",29/12/17
"良文貝塚","史跡","千葉県小見川町",30/02/28
"伊能忠敬旧宅","史跡","千葉県佐原市",30/04/25
"千本イチョウ","天然記念物","千葉県市川市",31/02/20
"竜角寺境内ノ塔阯","史跡","千葉県栄町",33/04/13
"岩屋古墳","史跡","千葉県栄町",41/01/27
"鶴枝ヒメハルゼミ発生地","天然記念物","千葉県茂原市",41/12/13
"大原幽学遺跡　旧宅、墓および宅地耕地地割","史跡","千葉県干潟町",52/10/11
"高宕山のサル生息地","天然記念物","千葉県富津市・君津市",56/12/28
"芝山古墳群","史跡","千葉県横芝町",58/06/28
"堀之内貝塚","史跡","千葉県市川市",64/07/06
"姥山貝塚","史跡","千葉県市川市",67/08/17
"下総国分寺跡","史跡","千葉県市川市",67/12/27
"下総国分尼寺跡","史跡","千葉県市川市",67/12/27
"阿玉台貝塚","史跡","千葉県小見川町",68/05/20
"笠森寺自然林","天然記念物","千葉県長南町",70/01/23
"加曽利貝塚","史跡","千葉県千葉市",71/03/22
"山崎貝塚","史跡","千葉県野田市",76/12/23
"月ノ木貝塚","史跡","千葉県千葉市",78/03/16
"荒屋敷貝塚","史跡","千葉県千葉市",79/03/13
"曽谷貝塚","史跡","千葉県市川市",79/12/22
"犢橋貝塚","史跡","千葉県千葉市",81/12/09
"上総国分尼寺跡","史跡","千葉県市原市",83/08/30
"長柄横穴群","史跡","千葉県長柄町",95/03/20
"本佐倉城跡","史跡","千葉県佐倉市・酒々井町",98/09/11
"高梨氏庭園","名勝","千葉県野田市",01/08/13
"大塚先儒墓所","史跡","東京都文京区",21/03/03
"湯島聖堂","史跡","東京都文京区",22/03/08
"浅野長矩墓および赤穂義士墓","史跡","東京都港区",22/03/08
"西ヶ原一里塚","史跡","東京都北区",22/03/08
"志村一里塚","史跡","東京都板橋区",22/03/08
"武蔵国分寺跡","史跡","東京都国分寺市",22/10/12
"小石川後楽園","特別史跡・特別名勝","東京都文京区",23/03/07
"小金井(サクラ)","名勝","東京都小金井市・小平市・武蔵野市",24/12/09
"馬場大門のケヤキ並木","天然記念物","東京都府中市",24/12/09
"高ヶ坂石器時代遺跡","史跡","東京都町田市",26/02/24
"品川台場","史跡","東京都港区",26/10/20
"林氏墓地","史跡","東京都新宿区",26/10/20
"沢庵墓","史跡","東京都品川区",26/10/20
"加茂真淵墓","史跡","東京都品川区",26/10/20
"善福寺のイチョウ","天然記念物","東京都港区",26/10/20
"松平定信墓","史跡","東京都江東区",28/01/18
"小仏関跡","史跡","東京都八王子市",28/01/18
"船田石器時代遺跡","史跡","東京都八王子市",28/01/18
"亀甲山古墳","史跡","東京都大田区",28/02/07
"高輪大木戸跡","史跡","東京都港区",28/02/07
"御岳の神代ケヤキ","天然記念物","東京都青梅市",28/02/18
"常磐橋門跡","史跡","東京都千代田区",28/03/24
"西秋留石器時代住居跡","史跡","東京都あきる野市",33/04/13
"三宝寺池沼沢植物群落","天然記念物","東京都練馬区",35/12/24
"大島のサクラ株","特別天然記念物","東京都大島町",35/12/24
"練馬白山神社の大ケヤキ","天然記念物","東京都練馬区",40/07/12
"六義園","特別名勝","東京都文京区",40/08/30
"蒲生君平墓","史跡","東京都台東区",42/07/21
"幸神神社のシダレアカシデ","天然記念物","東京都日の出町",42/07/21
"山鹿素行墓","史跡","東京都新宿区",43/05/01
"高島秋帆墓","史跡","東京都文京区",43/05/01
"伊能忠敬墓","史跡","東京都台東区",43/05/01
"高橋至時墓","史跡","東京都台東区",43/05/01
"平賀源内墓","史跡","東京都台東区",43/05/01
"青木昆陽墓","史跡","東京都目黒区",43/05/01
"旧浜離宮庭園","特別名勝・特別史跡","東京都中央区",48/12/18
"旧白金御料地","天然記念物・史跡","東京都港区・品川区",49/04/12
"佐藤一斎墓","史跡","東京都港区",49/07/13
"荻生徂徠墓","史跡","東京都港区",49/07/13
"細井広沢墓","史跡","東京都世田谷区",49/07/13
"滝山城跡","史跡","東京都八王子市",51/06/09
"八王子城跡","史跡","東京都八王子市",51/06/09
"シイノキ山のシイノキ群叢","天然記念物","東京都大島町",51/06/09
"大島海浜植物群落","天然記念物","東京都大島町",51/06/09
"大森貝塚","史跡","東京都大田区",55/03/24
"江戸城外堀跡","史跡","東京都千代田区・新宿区・港区",56/03/26
"江戸城跡","特別史跡","東京都千代田区",60/05/20
"鳥島","天然記念物","東京都小笠原村",65/05/10
"旧新橋停車場跡","史跡","東京都港区",65/05/12
"江戸城跡のヒカリゴケ生育地","天然記念物","東京都千代田区",72/06/14
"南硫黄島","天然記念物","東京都小笠原村",72/11/24
"弥生二丁目遺跡","史跡","東京都文京区",76/06/07
"椚田遺跡","史跡","東京都八王子市",78/05/11
"向島百花園","名勝・史跡","東京都墨田区",78/10/13
"旧芝離宮庭園","名勝","東京都港区",79/06/25
"下布田遺跡","史跡","東京都調布市",87/05/12
"中里貝塚","史跡","東京都北区",00/09/06
"相模国分寺跡","史跡","神奈川県海老名市",21/03/03
"箱根関跡","史跡","神奈川県箱根町",22/03/08
"称名寺境内","史跡","神奈川県横浜市金沢区",22/10/12
"三浦安針墓","史跡","神奈川県横須賀市",23/03/07
"早川のビランジュ","天然記念物","神奈川県小田原市",24/12/09
"藤沢敵御方供養塔","史跡","神奈川県藤沢市",26/10/20
"旧相模川橋脚","史跡","神奈川県茅ヶ崎市",26/10/20
"法華堂跡（源頼朝墓）","史跡","神奈川県鎌倉市",27/04/08
"日野俊基墓","史跡","神奈川県鎌倉市",27/04/08
"冷泉為相墓","史跡","神奈川県鎌倉市",27/04/08
"忍性墓","史跡","神奈川県鎌倉市",27/04/08
"伝上杉憲方墓","史跡","神奈川県鎌倉市",27/04/08
"諸磯の隆起海岸","天然記念物","神奈川県三浦市",28/03/24
"寸沢嵐石器時代遺跡","史跡","神奈川県相模湖町",30/11/19
"川尻石器時代遺跡","史跡","神奈川県城山町",31/07/31
"建長寺庭園","名勝・史跡","神奈川県鎌倉市",32/07/23
"円覚寺庭園","名勝・史跡","神奈川県鎌倉市",32/07/23
"箱根仙石原湿原植物群落","天然記念物","神奈川県箱根町",34/01/22
"稲村ヶ崎(新田義貞徒渉伝説地)","史跡","神奈川県鎌倉市",34/03/13
"箒スギ","天然記念物","神奈川県山北町",34/03/26
"伊勢原八幡台石器時代住居跡","史跡","神奈川県伊勢原市",34/12/28
"若宮大路","史跡","神奈川県鎌倉市",35/06/07
"小田原城跡","史跡","神奈川県小田原市",38/08/08
"城願寺のビャクシン","天然記念物","神奈川県湯河原町",39/09/07
"山神の樹叢","天然記念物","神奈川県湯河原町",39/09/07
"元箱根石仏群附永仁三年在銘石造五輪塔・石造五輪塔・永仁四年在銘石造宝篋印塔","史跡","神奈川県箱根町",41/10/03
"石垣山","史跡","神奈川県小田原市",59/05/13
"箱根旧街道","史跡","神奈川県箱根町",60/09/22
"浄智寺境内","史跡","神奈川県鎌倉市",66/02/28
"寿福寺境内","史跡","神奈川県鎌倉市",66/03/22
"三殿台遺跡","史跡","神奈川県横浜市磯子区",66/04/02
"名越切通","史跡","神奈川県逗子市・鎌倉市",66/04/11
"永福寺跡","史跡","神奈川県鎌倉市",66/06/14
"建長寺境内","史跡","神奈川県鎌倉市",66/09/12
"浄妙寺境内","史跡","神奈川県鎌倉市",66/11/02
"鶴岡八幡宮境内","史跡","神奈川県鎌倉市",67/04/24
"円覚寺境内","史跡","神奈川県鎌倉市",67/04/24
"覚園寺境内","史跡","神奈川県鎌倉市",67/06/22
"和賀江嶋","史跡","神奈川県鎌倉市・逗子市",68/10/14
"朝夷奈切通","史跡","神奈川県鎌倉市・横浜市金沢区",69/06/05
"亀ヶ谷坂","史跡","神奈川県鎌倉市",69/06/05
"巨福呂坂","史跡","神奈川県鎌倉市",69/11/29
"仮粧坂","史跡","神奈川県鎌倉市",69/11/29
"夏島貝塚","史跡","神奈川県横須賀市",72/01/27
"五領ヶ台貝塚","史跡","神奈川県平塚市",72/07/19
"瑞泉寺境内","史跡","神奈川県鎌倉市",72/11/08
"瑞泉寺庭園","名勝","神奈川県鎌倉市",72/11/08
"勝坂遺跡","史跡","神奈川県相模原市",74/07/02
"大仏切通","史跡","神奈川県鎌倉市",77/08/10
"北条氏常盤亭跡","史跡","神奈川県鎌倉市",78/12/19
"明月院境内","史跡","神奈川県鎌倉市",84/02/09
"大塚・歳勝土遺跡","史跡","神奈川県横浜市港北区",86/01/31
"旧横浜正金銀行本店","史跡","神奈川県横浜市",95/06/27
"相模国分尼寺跡","史跡","神奈川県海老名市",97/04/03
"東勝寺跡","史跡","神奈川県鎌倉市",98/07/31
"田名向原遺跡","史跡","神奈川県相模原市",99/01/28
"了玄庵のツナギガヤ","天然記念物","新潟県田上町",22/10/12
"鳥屋野逆ダケの薮","天然記念物","新潟県新潟市",22/10/12
"田上村ツナギガヤ自生地","天然記念物","新潟県田上町",22/10/12
"梅護寺の数珠掛ザクラ","天然記念物","新潟県京ヶ瀬村",27/04/08
"極楽寺の野中ザクラ","天然記念物","新潟県上川村",27/04/08
"将軍スギ","天然記念物","新潟県三川村",27/04/08
"笹川流","名勝・天然記念物","新潟県山北町",27/09/05
"筥堅八幡宮社叢","天然記念物","新潟県山北町",28/01/31
"小木の御所ザクラ","天然記念物","新潟県小木町",28/11/30
"小山田ヒガンザクラ樹林","天然記念物","新潟県五泉市",28/11/30
"佐渡国分寺跡","史跡","新潟県真野町",29/12/17
"鵜川神社の大ケヤキ","天然記念物","新潟県柏崎市",30/02/28
"菖蒲塚古墳","史跡","新潟県巻町",30/04/25
"橡平サクラ樹林","天然記念物","新潟県加治川村",34/01/22
"佐渡海府海岸","名勝","新潟県相川町・両津市",34/05/01
"佐渡小木海岸","天然記念物・名勝","新潟県小木町",34/05/01
"春日山城跡","史跡","新潟県上越市",35/08/27
"虫川の大スギ","天然記念物","新潟県浦川原村",37/04/17
"貞観園","名勝","新潟県高柳町",37/06/15
"田代の七ツ釜","名勝・天然記念物","新潟県津南町・中里村",37/06/15
"能生白山神社社叢","天然記念物","新潟県能生町",37/12/21
"平根崎の波蝕甌穴群","天然記念物","新潟県相川町",40/07/12
"清津峡","名勝・天然記念物","新潟県湯沢町・中里村",41/04/23
"月潟の類産ナシ","天然記念物","新潟県月潟村",41/11/13
"天神社の大スギ","天然記念物","新潟県妙高高原町",41/11/13
"能生ヒメハルゼミ発生地","天然記念物","新潟県能生町",42/10/14
"羽吉の大クワ","天然記念物","新潟県両津市",42/10/14
"水原のハクチョウ渡来地","天然記念物","新潟県水原町・笹神村",53/11/14
"小滝川硬玉産地","天然記念物","新潟県糸魚川市",56/06/29
"青海川の硬玉産地","天然記念物","新潟県青海町",57/02/22
"渡辺氏庭園","名勝","新潟県関川村",63/10/11
"旧新潟税関","史跡","新潟県新潟市",69/06/20
"笠堀のカモシカ生息地","天然記念物","新潟県下田村",71/05/13
"長者ヶ原遺跡","史跡","新潟県糸魚川市",71/05/27
"粟島のオオミズナギドリおよびウミウ繁殖地","天然記念物","新潟県粟島浦村",72/07/12
"水科古墳群","史跡","新潟県三和村・牧村",76/05/06
"宮口古墳群","史跡","新潟県牧村",76/05/06
"下国府遺跡","史跡","新潟県真野町",76/06/21
"斐太遺跡","史跡","新潟県新井市",77/07/16
"観音平・天神堂古墳群","史跡","新潟県新井市",78/03/24
"沖ノ原遺跡","史跡","新潟県津南町",78/05/11
"平林城跡","史跡","新潟県神林村",78/09/18
"藤橋遺跡","史跡","新潟県長岡市",78/10/13
"馬高・三十稲場遺跡","史跡","新潟県長岡市",79/02/21
"坂戸城跡","史跡","新潟県六日町",79/03/12
"下谷地遺跡","史跡","新潟県柏崎市",79/06/04
"室谷洞窟","史跡","新潟県上川村",80/02/04
"宮川神社社叢","天然記念物","新潟県柏崎市",80/03/14
"寺地遺跡","史跡","新潟県青海町",80/12/05
"小瀬ヶ沢洞窟","史跡","新潟県上川村",82/12/03
"長者ヶ平遺跡","史跡","新潟県小木町",84/07/21
"奥山荘城館遺跡","史跡","新潟県中条町",84/10/03
"村上城跡","史跡","新潟県村上市",93/06/08
"佐渡金山遺跡","史跡","新潟県相川町",94/05/24
"八幡林官衙遺跡","史跡","新潟県和島村",95/03/17
"朝日貝塚","史跡","富山県氷見市",22/03/08
"大境洞窟住居跡","史跡","富山県氷見市",22/03/08
"ホタルイカ群遊海面","特別天然記念物","富山県富山市・魚津市",22/03/08
"十二町潟オニバス発生地","天然記念物","富山県氷見市",23/03/07
"上日寺のイチョウ","天然記念物","富山県氷見市",26/10/20
"脇谷のトチノキ","天然記念物","富山県利賀村",26/10/20
"大岩日石寺石仏","史跡","富山県上市町",26/10/20
"桜谷古墳","史跡","富山県高岡市",34/12/28
"宮崎鹿島樹叢","天然記念物","富山県朝日町",36/12/16
"魚津埋没林","特別天然記念物","富山県魚津市",36/12/16
"飯久保の瓢箪＊石","天然記念物","富山県氷見市",41/01/27
"猪谷の背斜・向斜","天然記念物","富山県細入村",41/10/03
"立山の山崎圏谷","天然記念物","富山県立山町",45/02/22
"薬師岳の圏谷群","特別天然記念物","富山県大山町",45/02/22
"王塚古墳","史跡","富山県婦中町",48/01/14
"黒部峡谷附猿飛ならびに奥鐘山","特別名勝・特別天然記念物","富山県立山町・宇奈月町",56/09/07
"越中五箇山相倉集落","史跡","富山県平村",70/12/04
"越中五箇山菅沼集落","史跡","富山県上平村",70/12/04
"高瀬遺跡","史跡","富山県井波町",72/03/22
"称名滝","名勝・天然記念物","富山県立山町",73/05/29
"杉沢の沢スギ","天然記念物","富山県入善町",73/08/04
"不動堂遺跡","史跡","富山県朝日町",74/12/23
"串田新遺跡","史跡","富山県大門町",76/09/20
"じょうべのま遺跡","史跡","富山県入善町",79/05/14
"安田城跡","史跡","富山県婦中町",81/02/23
"直坂遺跡","史跡","富山県大沢野町",81/04/11
"北代遺跡","史跡","富山県富山市",84/01/04
"小杉丸山遺跡","史跡","富山県小杉町",90/03/08
"柳田布尾山古墳","史跡","富山県氷見市",01/01/29
"兼六園","特別名勝","石川県金沢市",22/03/08
"篠原のキンメイチク","天然記念物","石川県加賀市",27/04/08
"栢野の大スギ","天然記念物","石川県山中町",28/11/30
"那谷寺庫裡庭園","名勝","石川県小松市",29/04/02
"成巽閣庭園","名勝","石川県金沢市",29/04/02
"法皇山横穴古墳","史跡","石川県加賀市",29/12/17
"狐山古墳","史跡","石川県加賀市",32/04/19
"七尾城跡","史跡","石川県七尾市",34/12/28
"御仏供スギ","天然記念物","石川県吉野谷村",38/08/08
"鹿島の森","天然記念物","石川県加賀市",38/08/08
"末松廃寺跡","史跡","石川県野々市町",39/09/07
"山科の大桑層化石産地と甌穴","天然記念物","石川県金沢市",41/01/27
"曽々木海岸","名勝・天然記念物","石川県輪島市",42/03/07
"堂形のシイノキ","天然記念物","石川県金沢市",43/08/24
"松月寺のサクラ","天然記念物","石川県金沢市",43/08/24
"八幡神社の大スギ","天然記念物","石川県山中町",43/08/24
"岩間の噴泉塔群","特別天然記念物","石川県尾口村",54/12/25
"手取川流域の珪化木産地","天然記念物","石川県白峰村",57/07/10
