"名称","種別","所在地","新指定年月日"
"中尾洞","天然記念物","山口県秋芳町",23/03/07
"大正洞","天然記念物","山口県美東町",23/03/07
"萩反射炉","史跡","山口県萩市",24/12/09
"明神池","天然記念物","山口県萩市",24/12/09
"共和のカシの森","天然記念物","山口県秋芳町",25/10/08
"向島タヌキ生息地","天然記念物","山口県防府市",26/02/24
"常栄寺庭園","史跡・名勝","山口県山口市",26/02/24
"笠山コウライタチバナ自生地","天然記念物","山口県萩市",26/02/24
"石柱渓","名勝・天然記念物","山口県豊田町",26/10/20
"青海島","名勝・天然記念物","山口県長門市",26/10/20
"満珠樹林","天然記念物","山口県下関市",26/10/20
"干珠樹林","天然記念物","山口県下関市",26/10/20
"大日比ナツミカン原樹","史跡・天然記念物","山口県長門市",27/04/08
"俵島","名勝・天然記念物","山口県油谷町",27/06/14
"平川の大スギ","天然記念物","山口県山口市",28/01/18
"法泉寺のシンパク","天然記念物","山口県山口市",28/01/18
"須佐湾","名勝・天然記念物","山口県須佐町",28/03/05
"大吼谷蝙蝠洞","天然記念物","山口県豊浦町",28/03/24
"見島ウシ産地","天然記念物","山口県萩市",28/09/20
"見島のカメ生息地","天然記念物","山口県萩市",28/09/20
"長門鋳銭所跡","史跡","山口県下関市",29/12/17
"明倫館水練池および有備館","史跡","山口県萩市",29/12/17
"大玉スギ","天然記念物","山口県徳山市",30/08/25
"小串エヒメアヤメ自生南限地帯","天然記念物","山口県豊浦町",30/11/19
"木戸孝允旧宅","史跡","山口県萩市",32/03/25
"伊藤博文旧宅","史跡","山口県萩市",32/03/25
"峨嵋山樹林","天然記念物","山口県光市",32/04/25
"余田臥竜梅","天然記念物","山口県柳井市",33/04/13
"六連島の雲母玄武岩","天然記念物","山口県下関市",34/01/22
"岩屋観音窟","天然記念物","山口県美川町",34/01/22
"高杉晋作墓","史跡","山口県下関市",34/05/01
"壁島ウ渡来地","天然記念物","山口県豊北町",34/05/01
"竜宮の潮吹","天然記念物・名勝","山口県油谷町",34/08/09
"敷山城跡","史跡","山口県防府市",35/06/07
"石城山神蘢石","史跡","山口県大和町",35/06/07
"大村益次郎墓","史跡","山口県山口市",35/12/24
"野谷石風呂","史跡","山口県徳地町",35/12/24
"青海島鯨墓","史跡","山口県長門市",35/12/24
"山口ゲンジボタル発生地","天然記念物","山口県山口市",35/12/24
"吉部の大岩郷","天然記念物","山口県楠町",35/12/24
"万倉の大岩郷","天然記念物","山口県美祢市",35/12/24
"南桑カジカガエル生息地","天然記念物","山口県美川町",36/09/03
"旧萩藩御船倉","史跡","山口県萩市",36/12/16
"須佐高山の磁石石","天然記念物","山口県須佐町",36/12/16
"周防国衙跡","史跡","山口県防府市",37/06/15
"佐波川関水","史跡","山口県徳地町",37/06/15
"狗留孫山","名勝","山口県豊田町",40/08/30
"村田清風旧宅および墓","史跡","山口県三隅町",41/08/01
"中山忠光墓","史跡","山口県下関市",41/08/01
"川上のユズおよびナンテン自生地","天然記念物","山口県川上村",41/08/01
"竜蔵寺のイチョウ","天然記念物","山口県山口市",42/07/21
"陶陶窯跡","史跡","山口県山口市",48/01/14
"茶臼山古墳","史跡","山口県柳井市",48/01/14
"大日古墳","史跡","山口県防府市",48/01/14
"萩城跡","史跡","山口県萩市",51/06/09
"安下庄のシナナシ","天然記念物","山口県楠町",54/03/20
"恩徳寺の結びイブキ","天然記念物","山口県豊北町",55/10/26
"出雲神社ツルマンリョウ自生地","天然記念物","山口県徳地町",57/02/22
"周防国分寺旧境内","史跡","山口県防府市",57/07/10
"木屋川・音信川ゲンジボタル発生地","天然記念物","山口県長門市・豊田町",57/10/16
"大内氏遺跡附凌雲寺跡","史跡","山口県山口市",59/11/27
"秋吉台","特別天然記念物","山口県秋芳町・美東町",61/10/29
"土井ヶ浜遺跡","史跡","山口県豊北町",62/06/21
"萩城城下町","史跡","山口県萩市",67/01/10
"綾羅木郷遺跡","史跡","山口県下関市",69/03/11
"指月山","天然記念物","山口県萩市",71/03/16
"周防鋳銭司跡","史跡","山口県山口市",73/03/13
"梶栗浜遺跡","史跡","山口県下関市",80/03/14
"萩藩主毛利家墓所","史跡","山口県萩市・山口市",81/05/11
"白須たたら製鉄遺跡","史跡","山口県阿武町",82/03/23
"朝田墳墓群","史跡","山口県山口市",82/04/30
"宗隣寺庭園","名勝","山口県宇部市",83/02/07
"見島ジーコンボ古墳群","史跡","山口県萩市",84/07/25
"萩往還","史跡","山口県萩市・山口市・防府市・旭村",89/09/22
"仁馬山古墳","史跡","山口県下関市",91/05/15
"周防灘干拓遺跡　高泊開作五挺唐樋　名田島新開作南蛮樋","史跡","山口県小野田市",96/03/28
"毛利氏庭園","名勝","山口県防府市",96/03/29
"常徳寺庭園","名勝","山口県阿東町",00/12/27
"弁天島熱帯性植物群落","天然記念物","徳島県阿南市",22/03/08
"母川のオオウナギ生息地","天然記念物","徳島県海部町",23/03/07
"加茂の大クス","特別天然記念物","徳島県三加茂町",26/10/20
"鳴門","名勝","徳島県鳴門市",31/02/20
"阿波の土柱","天然記念物","徳島県阿波町",34/05/01
"旧徳島城表御殿庭園","名勝","徳島県徳島市",41/12/13
"段の塚穴","史跡","徳島県美馬町",42/10/14
"乳保神社のイチョウ","天然記念物","徳島県上板町",44/11/07
"沢谷のタヌキノショクダイ発生地","天然記念物","徳島県木沢村",54/12/25
"野神の大センダン","天然記念物","徳島県阿波町",57/06/19
"大浜海岸のウミガメおよびその産卵地","天然記念物","徳島県日和佐町",67/08/16
"美郷のホタルおよびその発生地","天然記念物","徳島県美郷村",70/08/29
"出羽島大池のシラタマモ自生地","天然記念物","徳島県牟岐町",72/03/16
"阿波国分尼寺跡","史跡","徳島県石井町",73/04/14
"津島暖地性植物群落","天然記念物","徳島県牟岐町",73/04/23
"郡里廃寺跡","史跡","徳島県美馬町",76/03/22
"丹田古墳","史跡","徳島県三加茂町",77/07/16
"宍喰浦の化石漣痕","天然記念物","徳島県宍喰町",79/11/26
"鈴が峰のヤッコソウ発生地","天然記念物","徳島県宍喰町",79/11/26
"船窪のオンツツジ群落","天然記念物","徳島県山川町",85/10/26
"阿波国分寺庭園","名勝","徳島県徳島市",00/03/30
"勝瑞城館跡","史跡","徳島県藍住町",01/01/29
"栗林公園","特別名勝","香川県高松市",22/03/08
"府中・山内瓦窯跡","史跡","香川県坂出市・国分寺町",22/10/12
"宝生院のシンパク","特別天然記念物","香川県土庄町",22/10/12
"神懸山(寒霞渓)","名勝","香川県内海町",23/03/07
"誓願寺のソテツ","天然記念物","香川県池田町",24/12/09
"皇子神社社叢","天然記念物","香川県池田町",28/01/31
"讃岐国分尼寺跡","史跡","香川県国分寺町",28/02/07
"讃岐国分寺跡","特別史跡","香川県国分寺町",28/03/24
"二ノ宮窯跡","史跡","香川県高瀬町",32/04/25
"石清尾山古墳群","史跡","香川県高松市",34/01/22
"屋島","史跡・天然記念物","香川県高松市",34/11/10
"円上島の球状ノーライト","天然記念物","香川県観音寺市",34/12/28
"琴弾公園","名勝","香川県観音寺市",36/12/16
"絹島および丸亀島","天然記念物","香川県大内町",40/02/10
"鹿浦越のランプロファイア岩脈","天然記念物","香川県白鳥町",42/07/21
"城山","史跡","香川県坂出市・飯山町",51/06/09
"象頭山","名勝・天然記念物","香川県琴平町",51/06/09
"琴平町の大センダン","天然記念物","香川県琴平町",53/03/31
"丸亀城跡","史跡","香川県丸亀市",53/03/31
"高松城跡","史跡","香川県高松市",55/03/02
"塩飽勤番所跡","史跡","香川県丸亀市",70/07/22
"大坂城石垣石切丁場跡","史跡","香川県内海町",72/03/16
"菅生神社社叢","天然記念物","香川県山本町",78/10/30
"喜兵衛島製塩遺跡","史跡","香川県直島町",79/06/25
"天川神社社叢","天然記念物","香川県琴南町",80/12/17
"有岡古墳群","史跡","香川県善通寺市",84/11/29
"天霧城跡","史跡","香川県善通寺市・三野町",90/05/16
"富田茶臼山古墳","史跡","香川県大川町",93/07/26
"宗吉瓦窯跡","史跡","香川県三野町",96/09/10
"伊予国分寺塔跡","史跡","愛媛県今治市",21/03/03
"三崎のアコウ","天然記念物","愛媛県三崎町",21/03/03
"下柏の大柏(イブキ)","天然記念物","愛媛県伊予三島市",24/12/09
"往至森寺のキンモクセイ","天然記念物","愛媛県西条市",27/04/08
"面河渓","名勝","愛媛県面河村",33/02/28
"八釜の甌穴群","特別天然記念物","愛媛県柳谷村",34/05/01
"宇和島城","史跡","愛媛県宇和島市",37/12/21
"波止浜","名勝","愛媛県今治市・波方町",38/05/30
"砥部衝上断層","天然記念物","愛媛県砥部町",38/05/30
"志島ヶ原","名勝","愛媛県今治市",41/02/21
"千疋のサクラ","名勝","愛媛県玉川町",41/12/13
"大三島","名勝","愛媛県大三島町",42/09/19
"八幡神社のイブキ","天然記念物","愛媛県宇和島市",43/02/19
"法安寺跡","史跡","愛媛県小松町",44/03/07
"オキチモズク発生地","天然記念物","愛媛県川内町",44/06/26
"八幡山","名勝","愛媛県吉海町",44/11/07
"岩屋","名勝","愛媛県美川村",44/11/07
"古岩屋","名勝","愛媛県久万町",44/11/07
"北吉井のビャクシン","天然記念物","愛媛県重信町",48/12/18
"大山祇＊神社のクスノキ群","天然記念物","愛媛県大三島町",51/06/09
"新居浜一宮神社のクスノキ群","天然記念物","愛媛県新居浜市",51/06/09
"松山城跡","史跡","愛媛県松山市",52/03/29
"能島城跡","史跡","愛媛県宮窪町",53/03/31
"天赦園","名勝","愛媛県宇和島市",68/05/20
"上黒岩岩陰遺跡","史跡","愛媛県美川村",71/05/27
"保国寺庭園","名勝","愛媛県西条市",75/10/16
"来住廃寺跡","史跡","愛媛県松山市",79/04/21
"河後森城跡","史跡","愛媛県松野町",97/09/11
"タチバナ","天然記念物","高知県室戸市",21/03/03
"松尾のアコウ自生地","天然記念物","高知県土佐清水市",21/03/03
"土佐国分寺跡","史跡","高知県南国市",22/10/12
"大谷のクス","天然記念物","高知県須崎市",24/12/09
"杉の大スギ","特別天然記念物","高知県大豊町",24/12/09
"伊尾木洞のシダ群落","天然記念物","高知県安芸市",26/10/20
"平石の乳イチョウ","天然記念物","高知県土佐町",28/01/18
"八束のクサマルハチ自生地","天然記念物","高知県中村市",28/01/31
"入野松原","名勝","高知県大方町",28/02/17
"室戸岬亜熱帯性樹林および海岸植物群落","天然記念物","高知県室戸市",28/03/24
"室戸岬","名勝","高知県室戸市",28/06/27
"比江廃寺塔跡","史跡","高知県南国市",34/01/22
"竜河洞","天然記念物・史跡","高知県土佐山田町",34/12/28
"武市半平太旧宅および墓","史跡","高知県高知市",36/09/03
"天神の大スギ","天然記念物","高知県香我美町",43/02/19
"高知市のミカドアゲハおよびその生息地","特別天然記念物","高知県高知市",43/08/24
"仁井田のヒロハチシャノキ","天然記念物","高知県窪川町",43/08/24
"谷重遠墓","史跡","高知県土佐山田町",44/11/13
"土佐藩砲台跡","史跡","高知県須崎市",44/11/13
"唐船島の隆起海岸","天然記念物","高知県土佐清水市",53/11/14
"千尋岬の化石漣痕","天然記念物","高知県土佐清水市",53/11/14
"宿毛貝塚","史跡","高知県宿毛市",57/07/27
"高知城跡","史跡","高知県高知市",59/06/18
"不動ガ岩屋洞窟","史跡","高知県佐川町",78/12/19
"大引割・小引割","天然記念物","高知県仁淀村・東津野村",86/02/25
"水城跡","特別史跡","福岡県太宰府市・大野城市・春日市",21/03/03
"大宰府跡","特別史跡","福岡県太宰府市",21/03/03
"太宰府神社のクス","天然記念物","福岡県太宰府市",22/03/08
"日輪寺古墳","史跡","福岡県久留米市",22/03/08
"楠名・重定古墳","史跡","福岡県浮羽町",22/03/08
"湯蓋の森(クス)・衣掛の森(クス)","天然記念物","福岡県宇美町",22/03/08
"本庄のクス","天然記念物","福岡県築城町",22/03/08
"筑前国分寺跡","史跡","福岡県太宰府市",22/10/12
"国分瓦窯跡","史跡","福岡県太宰府市",22/10/12
"友枝瓦窯跡","史跡","福岡県大平村",22/10/12
"塚花塚古墳","史跡","福岡県浮羽町",22/10/12
"英彦山の鬼スギ","天然記念物","福岡県添田町",24/12/09
"沖の島原始林","天然記念物","福岡県大島村",26/10/20
"久喜宮のキンメイチク","天然記念物","福岡県杷木町",27/04/08
"古処山ツゲ原始林","特別天然記念物","福岡県甘木市・嘉穂町",27/04/08
"黒木のフジ","天然記念物","福岡県黒木町",28/01/31
"丸隈山古墳","史跡","福岡県福岡市西区",28/02/07
"日岡古墳","史跡","福岡県吉井町",28/02/07
"旧亀石坊庭園","名勝","福岡県添田町",28/02/07
"立花山クスノキ原始林","特別天然記念物","福岡県新宮町・久山町",28/02/07
"清水寺本坊庭園","名勝","福岡県瀬高町",29/04/02
"元冦防塁","史跡","福岡県福岡市",31/03/30
"御塚・権現塚古墳","史跡","福岡県久留米市",31/10/21
"雷山神籠石","史跡","福岡県前原市",32/03/25
"大野城跡","特別史跡","福岡県太宰府市・宇美町・大野城市",32/07/23
"古月横穴","史跡","福岡県鞍手町",32/10/29
"長垂の含紅雲母ペグマタイト岩脈","天然記念物","福岡県福岡市西区",34/01/22
"名島の檣石","天然記念物","福岡県福岡市東区",34/05/01
"隠家森","天然記念物","福岡県朝倉町",34/12/28
"鎮西村のカツラ","天然記念物","福岡県飯塚市",34/12/28
"太宰府神社のヒロハチシャノキ","天然記念物","福岡県太宰府市",35/06/07
"千仏鍾乳洞","天然記念物","福岡県北九州市小倉南区",35/12/24
"御所山古墳","史跡","福岡県苅田町",36/09/03
"王塚古墳","特別史跡","福岡県桂川町",37/06/15
"怡土城跡","史跡","福岡県前原市",38/08/08
"穴ヶ葉山古墳","史跡","福岡県大平村",39/09/07
"塔原塔跡","史跡","福岡県筑紫野市",39/09/07
"船小屋ゲンジボタル発生地","天然記念物","福岡県瀬高町・筑後市",41/03/27
"大分廃寺塔跡","史跡","福岡県筑穂町",41/12/13
"高山彦九郎墓","史跡","福岡県久留米市",42/07/21
"下馬場古墳","史跡","福岡県久留米市",44/11/07
"鹿毛馬神籠石","史跡","福岡県頴田町",45/02/22
"五郎山古墳","史跡","福岡県筑紫野市",49/07/13
"浦山古墳","史跡","福岡県久留米市",51/06/09
"平尾台","天然記念物","福岡県北九州市小倉南区",52/11/22
"屋形古墳群　珍敷古墳　鳥船塚古墳　古畑古墳　原古墳","史跡","福岡県吉井町",53/03/31
"女山神籠石","史跡","福岡県瀬高町",53/11/14
"高良山神籠石","史跡","福岡県久留米市",53/11/14
"御所ヶ谷神籠石","史跡","福岡県行橋市・勝山町・犀川町",53/11/14
"志登支石墓群","史跡","福岡県前原市",54/03/20
"竹原古墳","史跡","福岡県若宮町",57/02/22
"夜宮の大珪化木","天然記念物","福岡県北九州市戸畑区",57/02/22
"福岡城跡","史跡","福岡県福岡市中央区",57/08/29
"銚子塚古墳","史跡","福岡県二丈町",57/08/29
"萩ノ尾古墳","史跡","福岡県大牟田市",61/04/05
"青竜窟","天然記念物","福岡県苅田町",62/01/26
"芥屋の大門","天然記念物","福岡県志摩町",66/03/03
"大塚古墳","史跡","福岡県福岡市西区",67/12/15
"寺徳古墳","史跡","福岡県田主丸町",68/06/11
"聖福寺境内","史跡","福岡県福岡市博多区",69/11/07
"橘塚古墳","史跡","福岡県勝山町",70/06/26
"大宰府学校院跡","史跡","福岡県太宰府市",70/09/21
"観世音寺境内および子院跡","史跡","福岡県太宰府市",70/09/21
"宗像神社境内","史跡","福岡県玄海町・大島村",71/04/22
"小郡官衙遺跡","史跡","福岡県小郡市",71/12/23
"金隈遺跡","史跡","福岡県福岡市博多区",72/05/17
"杷木神籠石","史跡","福岡県杷木町",72/12/09
"綾塚古墳","史跡","福岡県勝山町",73/04/14
"新舟小屋のクスノキ林","天然記念物","福岡県瀬高町",74/06/18
"高良山のモウソウキンメイチク林","天然記念物","福岡県久留米市",74/11/25
"焼ノ峠古墳","史跡","福岡県夜須町",75/02/13
"光正寺古墳","史跡","福岡県宇美町",75/06/26
"七夕池古墳","史跡","福岡県志免町",75/06/26
"野方遺跡","史跡","福岡県福岡市西区",75/06/27
"石神山古墳","史跡","福岡県高田町",76/02/06
"日拝塚古墳","史跡","福岡県春日市",76/02/24
"桜京古墳","史跡","福岡県玄海町",76/03/31
"板付遺跡","史跡","福岡県福岡市博多区",76/06/21
"豊前国分寺跡","史跡","福岡県豊津町",76/07/15
"潜塚古墳","史跡","福岡県大牟田市",77/02/17
"八女古墳群　乗場古墳　石人山古墳　岩戸山古墳　善蔵寺古墳　弘化谷古墳　丸山塚古墳　丸山古墳　茶臼塚古墳","史跡","福岡県八女市・広川町・筑後市",78/03/24
"仙道古墳","史跡","福岡県三輪町",78/05/06
"戸島氏庭園","名勝","福岡県柳川市",78/08/25
"松濤園","名勝","福岡県柳川市",78/08/25
"藤江氏魚楽園","名勝","福岡県川崎町",78/09/18
"小田茶臼塚古墳","史跡","福岡県甘木市",79/09/04
"安国寺甕棺墓群","史跡","福岡県久留米市",80/11/26
"釜塚古墳","史跡","福岡県前原市",82/05/07
"曽根遺跡群　平原遺跡　ワレ塚古墳　　銭瓶塚古墳　狐塚古墳","史跡","福岡県前原市",82/10/04
"石塚山古墳","史跡","福岡県苅田町",85/01/31
"岡本遺跡","史跡","福岡県春日市",86/06/24
"堀川用水及び朝倉揚水車","史跡","福岡県朝倉町",90/07/04
"吉武高木遺跡","史跡","福岡県福岡市",93/10/14
"今山遺跡","史跡","福岡県福岡市西区",93/11/12
"平塚川添遺跡","史跡","福岡県甘木市",94/05/19
"筑後国府跡","史跡","福岡県久留米市",96/03/26
"水縄断層","天然記念物","福岡県久留米市",97/07/28
"下高橋官衙遺跡","史跡","福岡県大刀洗町",98/01/16
"大ノ瀬官衙遺跡","史跡","福岡県新吉富村",98/12/08
"船迫窯跡","史跡","福岡県築城町",99/01/28
"新町支石墓群","史跡","福岡県志摩町",00/09/06
"老司古墳","史跡","福岡県福岡市南区",00/12/20
"相島積石塚群","史跡","福岡県新宮町",01/08/07
"比恵遺跡","史跡","福岡県福岡市博多区",01/08/13
"鍬崎古墳","史跡","福岡県福岡市西区",01/08/13
"求菩提山","史跡","福岡県豊前市",01/08/13
"多久聖廟","史跡","佐賀県多久市",21/03/03
"川古のクス","天然記念物","佐賀県武雄市",24/12/09
"広沢寺のソテツ","天然記念物","佐賀県鎮西町",24/12/09
"屋形石の七ツ釜","天然記念物","佐賀県唐津市",25/10/08
"有田のイチョウ","天然記念物","佐賀県有田町",26/10/20
"嬉野の大チャノキ","天然記念物","佐賀県嬉野町",26/10/20
"虹の松原","特別名勝","佐賀県唐津市・浜玉町",26/10/27
"名護屋城跡並陣跡","特別史跡","佐賀県鎮西町・呼子町",26/11/04
"田代太田古墳","史跡","佐賀県鳥栖市",26/11/04
"黒髪山カネコシダ自生地","天然記念物","佐賀県山内町",27/04/08
"高串アコウ自生北限地帯","天然記念物","佐賀県肥前町",28/01/18
"肥前陶器窯跡　小峠窯跡　大谷窯跡　錆谷窯跡附土師場物原山","史跡","佐賀県武雄市",40/02/10
"谷口古墳","史跡","佐賀県浜玉町",41/12/13
"帯隈山神篭石","史跡","佐賀県佐賀市・神埼町",51/06/09
"横田下古墳","史跡","佐賀県浜玉町",51/06/09
"千石山サザンカ自生北限地帯","天然記念物","佐賀県東脊振村",57/07/02
"下合瀬の大カツラ","天然記念物","佐賀県富士町",62/05/16
"大隈重信旧宅","史跡","佐賀県佐賀市",65/06/04
"おつぼ山神籠石","史跡","佐賀県武雄市",66/06/21
"葉山尻支石墓群","史跡","佐賀県唐津市",66/12/19
"土生遺跡","史跡","佐賀県三日月町",73/06/02
"西隈古墳","史跡","佐賀県佐賀市",75/06/26
"銚子塚古墳","史跡","佐賀県佐賀市",78/03/11
"肥前磁器窯跡　天狗谷窯跡　山辺田窯跡　原明窯跡　百間窯跡　泉山磁石場跡　不動山窯跡","史跡","佐賀県有田町・西有田町・山内町",80/03/24
"安永田遺跡","史跡","佐賀県鳥栖市",82/12/18
"菜畑遺跡","史跡","佐賀県唐津市",83/05/11
"肥前国庁跡","史跡","佐賀県大和町",89/09/22
"柿右衛門窯跡","史跡","佐賀県有田町",89/09/22
"吉野ヶ里遺跡","特別史跡","佐賀県神埼町",90/05/19
"九年庵(旧伊丹氏別邸)庭園","名勝","佐賀県神埼町",95/02/21
"高島秋帆旧宅","史跡","長崎県長崎市",22/10/12
"平戸和蘭商館跡","史跡","長崎県平戸市",22/10/12
"出島和蘭商館跡","史跡","長崎県長崎市",22/10/12
"シーボルト宅跡","史跡","長崎県長崎市",22/10/12
"オオウナギ生息地","天然記念物","長崎県野母崎町",23/03/07
"竜良山原始林","天然記念物","長崎県厳原町",23/03/07
"洲藻白岳原始林","天然記念物","長崎県美津島町",23/03/07
"鰐浦ヒトツバタゴ自生地","天然記念物","長崎県上対馬町",28/01/18
"温泉岳","特別名勝","長崎県南高来郡",28/03/31
"地獄地帯シロドウダン群落","天然記念物","長崎県小浜町",28/03/31
"野岳イヌツゲ群落","天然記念物","長崎県小浜町",28/03/31
"普賢岳紅葉樹林","天然記念物","長崎県小浜町",28/03/31
"原生沼沼野植物群落","天然記念物","長崎県小浜町",28/03/31
"池の原ミヤマキリシマ群落","天然記念物","長崎県小浜町",28/03/31
"岩戸山樹叢","天然記念物","長崎県加津佐町",28/03/31
"旧島原藩薬園跡","史跡","長崎県島原市",29/04/02
"七釜鍾乳洞","天然記念物","長崎県西海町",36/12/16
"原城跡","史跡","長崎県南有馬町",38/05/30
"キイレツチトリモチ自生北限地","天然記念物","長崎県長崎市",51/06/09
"諫早市城山暖地性樹叢","天然記念物","長崎県諫早市",51/06/09
"小長井のオガタマノキ","天然記念物","長崎県小長井町",51/06/09
"多良岳ツクシシャクナゲ群叢","天然記念物","長崎県高来町",51/06/09
"黒子島原始林","天然記念物","長崎県平戸市",51/06/09
"御橋観音シダ植物群落","天然記念物","長崎県吉井町",51/06/09
"斑島玉石甌穴","天然記念物","長崎県小値賀町",58/03/13
"奈留島権現山樹叢","天然記念物","長崎県奈留町",58/11/11
"吉利支丹墓碑","史跡","長崎県西有家町",59/07/24
"奈良尾のアコウ","天然記念物","長崎県奈良尾町",61/04/27
"土黒川のオキチモズク発生地","天然記念物","長崎県国見町",61/05/01
"辰の島海浜植物群落","天然記念物","長崎県勝本町",67/02/17
"大村神社のオオムラザクラ","天然記念物","長崎県大村市",67/05/02
"小菅修船場跡","史跡","長崎県長崎市",69/04/12
"男女群島","天然記念物","長崎県福江市",69/08/18
"御岳鳥類繁殖地","天然記念物","長崎県上県町",72/06/20
"原山支石墓群","史跡","長崎県北有馬町",72/11/06
"女夫木の大スギ","天然記念物","長崎県諫早市",75/06/26
"根曽古墳群","史跡","長崎県美津島町",76/02/24
"阿値賀島","天然記念物","長崎県平戸市",76/09/17
"矢立山古墳","史跡","長崎県厳原町",76/12/27
"旧円融寺庭園","名勝","長崎県大村市",76/12/27
"塔の首遺跡","史跡","長崎県上対馬町",77/02/17
"福井洞窟","史跡","長崎県吉井町",78/08/02
"曲崎古墳群","史跡","長崎県長崎市",78/12/21
"大村のイチイガシ天然林","天然記念物","長崎県大村市",81/01/24
"ホゲット石鍋製作遺跡","史跡","長崎県大瀬戸町",81/09/08
"金田城跡","特別史跡","長崎県美津島町",82/03/23
"日野江城跡","史跡","長崎県北有馬町",82/07/03
"清水山城跡","史跡","長崎県厳原町",84/12/06
"対馬藩主宗家墓所","史跡","長崎県厳原町",85/02/18
"大野台支石墓群","史跡","長崎県鹿町町",85/05/14
"長崎台場跡・魚見岳台場跡","史跡","長崎県長崎市",86/01/31
"泉福寺洞窟","史跡","長崎県佐世保市",86/03/07
"石田城五島氏庭園","名勝","長崎県福江市",91/11/16
"金石城跡","史跡","長崎県厳原町",95/03/28
"原の辻遺跡","史跡","長崎県芦辺町・石田町",97/09/02
"肥前波佐見陶磁器窯跡","史跡","長崎県波佐見町",00/09/06
"千金甲古墳(甲号)","史跡","熊本県熊本市",21/03/03
"千金甲古墳(乙号)","史跡","熊本県熊本市",21/03/03
"井寺古墳","史跡","熊本県嘉島町",21/03/03
